date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2025-11-21,05:29:14,CDG52-P1,603,91.231.89.121,GET,d82vxuwkm0s6w.cloudfront.net,/,301,-,Mozilla/5.0%20\(X11;%20Ubuntu;%20Linux%20x86_64;%20rv:134.0)%20Gecko/20100101%20Firefox/134.0,-,-,Redirect,cyjwtFMFDxPBjQJhmSUGE91vDNTI97gznss_OQiJmjCF1UdLyA0gWg\=\=,d82vxuwkm0s6w.amplifyapp.com,http,271,0.002,-,-,-,Redirect,HTTP/1.1,-,-,57293,0.002,Redirect,text/html,167,-,-
2025-11-21,05:14:45,CCU50-P1,1831,49.47.129.113,GET,d82vxuwkm0s6w.cloudfront.net,/,200,https://ap-south-1.console.aws.amazon.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Safari/537.36%20Edg/142.0.0.0,-,-,Miss,Adth5AjxL8qPBL9lkBun0EBZVwau548xWGVvQTRPMjKUm8ykspaYvQ\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,536,0.071,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,58707,0.071,Miss,text/html,1434,-,-
2025-11-21,05:14:45,CCU50-P1,1796,49.47.129.113,GET,d82vxuwkm0s6w.cloudfront.net,/favicon.ico,404,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Safari/537.36%20Edg/142.0.0.0,-,-,Error,HI8xnJlDo7GDiTIWo4Fb9NDbra5XXpdhSNdOb5F_H5YEVhHDppAaQg\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,148,0.081,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,58707,0.081,Error,text/html,1434,-,-
2025-11-21,05:15:25,IAD50-C2,218,54.146.228.109,GET,d82vxuwkm0s6w.cloudfront.net,/favicon.png,404,-,okhttp/5.3.0,-,-,Error,LrFUJkYS7UMNiEGf_JfHU1KMLfsb359mzbpltDrTyKkLToE0sdcY2w\=\=,d82vxuwkm0s6w.amplifyapp.com,https,25,0.204,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,11432,0.204,Error,-,0,-,-
2025-11-21,05:15:24,IAD50-C2,218,54.146.228.109,GET,d82vxuwkm0s6w.cloudfront.net,/,404,-,okhttp/5.3.0,-,-,Error,mB2t2he2IvOFkZoHBccNTmBy_CdCHVX-RpTt_t6-G_nk4TY8mEOYMA\=\=,d82vxuwkm0s6w.amplifyapp.com,https,51,0.203,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,11432,0.203,Error,-,0,-,-
2025-11-21,05:15:24,IAD50-C2,218,54.146.228.109,GET,d82vxuwkm0s6w.cloudfront.net,/favicon.ico,404,-,okhttp/5.3.0,-,-,Error,zOD6oR5Jek166TaI3HKVP8kkuJNmmb2vBJOgxp6UqfZXdzro4yn4rw\=\=,d82vxuwkm0s6w.amplifyapp.com,https,25,0.206,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,11432,0.206,Error,-,0,-,-
2025-11-21,05:15:19,CCU50-P1,462,49.47.129.113,GET,d82vxuwkm0s6w.cloudfront.net,/,304,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Safari/537.36%20Edg/142.0.0.0,-,-,Miss,7GHen85sRQcFCmSMmL5-UGCd-F7dIh1Q_Qcy7D1SsM-koWGZ6cAKvw\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,546,0.080,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,63220,0.080,Miss,-,-,-,-
2025-11-21,05:22:17,SEA900-P3,757,66.220.149.45,GET,d82vxuwkm0s6w.cloudfront.net,/,301,https://www.facebook.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,fbclid\=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeg4FVBm3QnDWh4tfStD9-iW3jXpAz4b-wKxcJztDxF70m2NEyib1t0IIyCS8_aem_obNM425tI5uUKJtNhCaVHA,-,Redirect,CGd4SvJwiQ2c1inG8q35izsLbH7vFXmSiTQtQd2Jo2QocH7dOaThCg\=\=,d82vxuwkm0s6w.amplifyapp.com,http,618,0.002,-,-,-,Redirect,HTTP/1.1,-,-,38872,0.002,Redirect,text/html,167,-,-
2025-11-21,05:22:17,SEA900-P3,217,66.220.149.29,GET,d82vxuwkm0s6w.cloudfront.net,/,404,https://www.facebook.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,fbclid\=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeg4FVBm3QnDWh4tfStD9-iW3jXpAz4b-wKxcJztDxF70m2NEyib1t0IIyCS8_aem_obNM425tI5uUKJtNhCaVHA,-,Error,2j_4fY15N0UWbbdmEXzBsR1WeIs7icX9aS39uLxUvKCWBt70pr6r2g\=\=,d82vxuwkm0s6w.amplifyapp.com,https,591,0.240,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,45568,0.240,Error,-,0,-,-
2025-11-21,05:56:29,IAD50-C2,334,128.192.12.126,GET,d82vxuwkm0s6w.cloudfront.net,/,404,-,Mozilla/5.0%20\(compatible;%20UGAResearchAgent/1.0;%20Please%20visit:%20NISLabUGA.github.io),-,-,Error,_lkofdr06ojngwxnW22sY955ggi-XGAQBoAeOTPAZ-KElvFz0UADbA\=\=,d82vxuwkm0s6w.amplifyapp.com,https,185,0.203,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,59237,0.203,Error,-,0,-,-
2025-11-21,05:57:56,JFK50-P13,335,128.192.12.108,GET,d82vxuwkm0s6w.cloudfront.net,/,404,-,Mozilla/5.0%20\(compatible;%20UGAResearchAgent/1.0;%20Please%20visit:%20NISLabUGA.github.io),-,-,Error,hTizTKi6v_DxurOLnM8e1wBJKqV5yx7CzrLIybpp5RvBehezalH6cQ\=\=,tc2jpt4cvf.d82vxuwkm0s6w.amplifyapp.com,https,196,0.206,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,50569,0.206,Error,-,0,-,-
2025-11-21,05:01:18,BOM54-P1,334,13.201.6.208,GET,d82vxuwkm0s6w.cloudfront.net,/status.html,404,-,Java/17.0.16,-,-,Error,voH_vSTWD-poE_KuhnWYl4Id-dxOZLH12UXIaUP78j9Szdcy7EvRYw\=\=,awshealthcheck.d82vxuwkm0s6w.amplifyapp.com,https,184,0.012,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,41184,0.012,Error,-,0,-,-
2025-11-21,06:57:00,DEL54-P4,11083,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/static/chunks/56132948d1716e2d.js,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,-,-,Hit,rlvNMb8LhW16MuN1eAIUEOLM5BHUkouSIYKGWvs5rqPkNZ-qwCASrQ\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,462,0.101,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/3.0,-,-,43978,0.101,Hit,text/javascript,-,-,-
2025-11-21,06:57:00,DEL54-P4,808,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/static/chunks/ff1a16fafef87110.js,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,-,-,Hit,GkE0aefzxVZrDkPkGs4Fd6vV9AWaxx07sn1H-yhXdd0cj5QuhVM5SA\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,461,0.101,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/3.0,-,-,43978,0.100,Hit,text/javascript,282,-,-
2025-11-21,06:57:00,DEL54-P4,32382,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/image,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,url\=%252Fimages%252Fsamsung-battery.png&w\=1200&q\=75,-,Miss,vgG4vh2J_WFB6yBqelNTGliOq4skZuqUcsfV8R3na4kb2CZH5eIEZg\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,557,0.249,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.249,Miss,image/webp,31900,-,-
2025-11-21,06:57:01,DEL54-P4,754,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/login,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=1r34m,-,Miss,sx2L5VwY9fkX7JuzgP-5ETYq4XhMGedaRaOySuvpwkXjHMqx3EawEQ\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,490,0.202,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.202,Miss,text/x-component,-,-,-
2025-11-21,06:57:00,DEL54-P4,14890,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/image,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,url\=%252Fimages%252Fiphone-screen.png&w\=1200&q\=75,-,Miss,Bio-3JxQ7b3LcOt7WLjJjYwhnc34jYu2WrW-57RD_NNNdvfFtw0eDQ\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,554,0.254,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.254,Miss,image/webp,14408,-,-
2025-11-21,06:57:09,DEL54-P4,55088,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/image,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,url\=%252Fimages%252Fiphone-camera.png&w\=1200&q\=75,-,Miss,_MpMaiUlDqEvDRl5gIWme5pHlk1E2uXew5FqR_XVULduZj6VrbL7ow\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,554,0.257,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.257,Miss,image/webp,54606,-,-
2025-11-21,06:57:09,DEL54-P4,1208,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/products/3,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=p37cr,-,Miss,4kQg32Ve2hBfiHuON56ErTaRmeah_e6isExxTMCPKqyUdiz27NXwfw\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,526,0.101,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.101,Miss,text/x-component,-,-,-
2025-11-21,06:57:09,DEL54-P4,603,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/products/4,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=1r34m,-,Miss,5p4uGWFNdHdnQ5bFhHBaadvcdMTUxq3PINidremKkDcL25l5inFQNA\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,499,0.075,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.075,Miss,text/x-component,-,-,-
2025-11-21,06:57:09,DEL54-P4,48538,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/image,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,url\=%252Fimages%252Fxiaomi-speaker.png&w\=1200&q\=75,-,Miss,Umw7iKX8B0i6tG7CDELtkXCFO1ytYs2HCa2V2Sp4qu5zSB8LkcreZw\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,556,0.228,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.228,Miss,image/webp,48056,-,-
2025-11-21,06:57:09,DEL54-P4,1210,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/products/4,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=p37cr,-,Miss,-jPnTSaEtDf3HKegK1NgfSVduTAmZVq3gd8oXOXeNrfGE6VejNEEZQ\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,526,0.072,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.072,Miss,text/x-component,-,-,-
2025-11-21,06:57:14,DEL54-P4,602,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/products/5,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=1r34m,-,Miss,6W8s_FelSSOHnrMY0lwkwlOb3d-EjqzKmkufvOOEm-LyNjj79V1KBQ\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,499,0.171,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.170,Miss,text/x-component,-,-,-
2025-11-21,06:57:00,DEL54-P4,7239,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/static/chunks/247eb132b7f7b574.js,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,-,-,Hit,4Es6lDc1QSX5nIA3kK1hoJ2p-Gfe-wgh0-6BK69tMon_EGnubPJl-Q\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,462,0.026,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/3.0,-,-,43978,0.026,Hit,text/javascript,-,-,-
2025-11-21,06:57:00,DEL54-P4,7574,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/static/chunks/140d2e23290a5bb1.js,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,-,-,Hit,GMynXQQ4vvKP4oJAnBOWTImDuytTOsvUvAzGcQXYaNdGYTTk29ISsw\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,461,0.028,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/3.0,-,-,43978,0.027,Hit,text/javascript,-,-,-
2025-11-21,06:57:02,DEL54-P4,753,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/cart,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=1r34m,-,Miss,BSthX19B3LAWbwAsSlesuo4nSaT1FUttO14ydLr9fVkuyoyYhWfHpg\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,488,1.815,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,1.815,Miss,text/x-component,-,-,-
2025-11-21,06:57:02,DEL54-P4,1054,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/cart,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=1pn8p,-,Miss,2a8Tb2ot4hA5moEG7Az7BGnvKYMXf_1i5A0ns3Mlonmr1KlX4qi-lg\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,488,0.089,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.089,Miss,text/x-component,-,-,-
2025-11-21,06:57:02,DEL54-P4,5651,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/_next/image,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,url\=%252Fimages%252Foneplus-back.png&w\=1200&q\=75,-,Miss,AIo5tySC4uajj0FIQEWpRafl3j-9vlZ40s4zSmdiqGqvUEiD8vqDeg\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,552,0.206,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.206,Miss,image/webp,5170,-,-
2025-11-21,06:57:02,DEL54-P4,773,103.211.13.132,GET,d82vxuwkm0s6w.cloudfront.net,/cart,200,https://main.d82vxuwkm0s6w.amplifyapp.com/,Mozilla/5.0%20\(Linux;%20Android%2010;%20K)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/142.0.0.0%20Mobile%20Safari/537.36,_rsc\=98rw3,-,Miss,Ak0PKGAu410Q6rlvzvg0PTrze4FoyNck9cASWMQ2grqucPUiPyrnFA\=\=,main.d82vxuwkm0s6w.amplifyapp.com,https,487,0.077,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,35179,0.077,Miss,text/x-component,-,-,-
